"subids","age","gender","comments","exp_about","approval_time","exp_time","training_condition","shape_learned","training_time","trial_type","question","response","shape","trial_num_within_block","block","question_old","question_and_shape","correct"
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","parallelogram","no","rhombus",10,"posttest","rhombus","parallelogram_rhombus",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","rectangle","no","rhombus",11,"posttest","rhombus","rectangle_rhombus",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","rhombus","yes","rhombus",12,"posttest","rhombus","rhombus_rhombus",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","parallelogram","yes","square",13,"posttest","square","parallelogram_square",FALSE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","square","yes","square",14,"posttest","square","square_square",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","rectangle","yes","square",15,"posttest","square","rectangle_square",FALSE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","rhombus","yes","square",16,"posttest","square","rhombus_square",FALSE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"relational","rectangle","no","square",1,"pretest","rectangle","rectangle_square",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"relational","square","yes","rhombus",2,"pretest","square","square_rhombus",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"relational","square","yes","rectangle",3,"pretest","square","square_rectangle",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"relational","rhombus","yes","parallelogram",4,"pretest","rhombus","rhombus_parallelogram",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"relational","rectangle","yes","parallelogram",5,"pretest","rectangle","rectangle_parallelogram",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"relational","rhombus","no","rectangle",6,"pretest","rhombus","rhombus_rectangle",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"relational","rectangle","no","rhombus",7,"pretest","rectangle","rectangle_rhombus",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"relational","parallelogram","no","rhombus",8,"pretest","parallelogram","parallelogram_rhombus",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"relational","parallelogram","no","rectangle",9,"pretest","parallelogram","parallelogram_rectangle",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"relational","square","yes","parallelogram",10,"pretest","square","square_parallelogram",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"relational","rhombus","no","square",11,"pretest","rhombus","rhombus_square",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"relational","parallelogram","no","square",12,"pretest","parallelogram","parallelogram_square",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"entity","rhombus","yes","parallelogram",1,"pretest","parallelogram","rhombus_parallelogram",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"entity","rectangle","yes","parallelogram",2,"pretest","parallelogram","rectangle_parallelogram",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"entity","parallelogram","yes","parallelogram",3,"pretest","parallelogram","parallelogram_parallelogram",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"entity","square","yes","parallelogram",4,"pretest","parallelogram","square_parallelogram",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"entity","rectangle","no","square",5,"pretest","square","rectangle_square",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"entity","parallelogram","no","square",6,"pretest","square","parallelogram_square",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"entity","rhombus","no","square",7,"pretest","square","rhombus_square",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"entity","square","yes","square",8,"pretest","square","square_square",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"entity","parallelogram","no","rhombus",9,"pretest","rhombus","parallelogram_rhombus",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"entity","rectangle","no","rhombus",10,"pretest","rhombus","rectangle_rhombus",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"entity","square","yes","rhombus",11,"pretest","rhombus","square_rhombus",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"entity","rhombus","yes","rhombus",12,"pretest","rhombus","rhombus_rhombus",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"entity","square","yes","rectangle",13,"pretest","rectangle","square_rectangle",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"entity","parallelogram","no","rectangle",14,"pretest","rectangle","parallelogram_rectangle",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"entity","rhombus","no","rectangle",15,"pretest","rectangle","rhombus_rectangle",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"entity","rectangle","yes","rectangle",16,"pretest","rectangle","rectangle_rectangle",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"training","rhombus","yes","square",NA,"1","rhombus","rhombus_square",FALSE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"training","rhombus","yes","rhombus",NA,"1","rhombus","rhombus_rhombus",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"training","rhombus","yes","rhombus",NA,"1","rhombus","rhombus_rhombus",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"training","rhombus","yes","square",NA,"2","rhombus","rhombus_square",FALSE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"training","rhombus","yes","rhombus",NA,"2","rhombus","rhombus_rhombus",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"training","rhombus","yes","parallelogram",NA,"2","rhombus","rhombus_parallelogram",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"relational","rhombus","yes","parallelogram",1,"posttest","rhombus","rhombus_parallelogram",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"relational","parallelogram","no","rhombus",2,"posttest","parallelogram","parallelogram_rhombus",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"relational","square","yes","rhombus",3,"posttest","square","square_rhombus",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"relational","parallelogram","no","rectangle",4,"posttest","parallelogram","parallelogram_rectangle",TRUE
115,"23","o","none","knowledge of shapes",2016-01-24 21:35:14,293716,"passive_passive","rhombus",51472,"relational","rhombus","no","rectangle",5,"posttest","rhombus","rhombus_rectangle",TRUE
